,Unnamed: 0,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
0,11233,2000,VIRGINIA,VA,CHARLES CITY,51036,US PRESIDENT,AL GORE,DEMOCRAT,1981,3066,20220315,TOTAL
1,11613,2000,VIRGINIA,VA,LEXINGTON,51678,US PRESIDENT,AL GORE,DEMOCRAT,1048,2140,20220315,TOTAL
2,11310,2000,VIRGINIA,VA,GRAYSON,51077,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4236,6852,20220315,TOTAL
3,11490,2000,VIRGINIA,VA,SMYTH,51173,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6580,11740,20220315,TOTAL
4,11426,2000,VIRGINIA,VA,PAGE,51139,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5089,7996,20220315,TOTAL
5,11206,2000,VIRGINIA,VA,BOTETOURT,51023,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8867,13840,20220315,TOTAL
6,11633,2000,VIRGINIA,VA,NEWPORT NEWS,51700,US PRESIDENT,AL GORE,DEMOCRAT,29779,57825,20220315,TOTAL
7,11574,2000,VIRGINIA,VA,DANVILLE,51590,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9427,18307,20220315,TOTAL
8,11330,2000,VIRGINIA,VA,HENRICO,51087,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,62887,114252,20220315,TOTAL
9,11474,2000,VIRGINIA,VA,ROCKINGHAM,51165,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17482,23994,20220315,TOTAL
10,11418,2000,VIRGINIA,VA,NOTTOWAY,51135,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2870,5492,20220315,TOTAL
11,11674,2000,VIRGINIA,VA,STAUNTON,51790,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4878,8514,20220315,TOTAL
12,11454,2000,VIRGINIA,VA,PULASKI,51155,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7089,12697,20220315,TOTAL
13,11254,2000,VIRGINIA,VA,CULPEPER,51047,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7440,12244,20220315,TOTAL
14,11477,2000,VIRGINIA,VA,RUSSELL,51167,US PRESIDENT,AL GORE,DEMOCRAT,5442,10792,20220315,TOTAL
15,11414,2000,VIRGINIA,VA,NORTHUMBERLAND,51133,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3362,5605,20220315,TOTAL
16,11598,2000,VIRGINIA,VA,GALAX,51640,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1160,2213,20220315,TOTAL
17,11593,2000,VIRGINIA,VA,FREDERICKSBURG,51630,US PRESIDENT,AL GORE,DEMOCRAT,3360,6681,20220315,TOTAL
18,11554,2000,VIRGINIA,VA,BUENA VISTA,51530,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,980,1975,20220315,TOTAL
19,11442,2000,VIRGINIA,VA,PRINCE EDWARD,51147,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3214,6363,20220315,TOTAL
20,11338,2000,VIRGINIA,VA,HIGHLAND,51091,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,942,1437,20220315,TOTAL
21,11290,2000,VIRGINIA,VA,FRANKLIN,51067,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11225,18829,20220315,TOTAL
22,11302,2000,VIRGINIA,VA,GLOUCESTER,51073,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8718,13699,20220315,TOTAL
23,11370,2000,VIRGINIA,VA,LOUDOUN,51107,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,42453,75653,20220315,TOTAL
24,11606,2000,VIRGINIA,VA,HARRISONBURG,51660,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5741,9958,20220315,TOTAL
25,11493,2000,VIRGINIA,VA,SOUTHAMPTON,51175,US PRESIDENT,AL GORE,DEMOCRAT,3359,6714,20220315,TOTAL
26,11610,2000,VIRGINIA,VA,HOPEWELL,51670,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3749,6978,20220315,TOTAL
27,11585,2000,VIRGINIA,VA,FALLS CHURCH,51610,US PRESIDENT,AL GORE,DEMOCRAT,3109,5593,20220315,TOTAL
28,11278,2000,VIRGINIA,VA,FAUQUIER,51061,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14456,23481,20220315,TOTAL
29,11458,2000,VIRGINIA,VA,RAPPAHANNOCK,51157,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1850,3513,20220315,TOTAL
30,11526,2000,VIRGINIA,VA,WESTMORELAND,51193,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2932,6026,20220315,TOTAL
31,11518,2000,VIRGINIA,VA,WARREN,51187,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6335,11166,20220315,TOTAL
32,11358,2000,VIRGINIA,VA,KING WILLIAM,51101,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3547,5769,20220315,TOTAL
33,11502,2000,VIRGINIA,VA,STAFFORD,51179,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20731,34246,20220315,TOTAL
34,11690,2000,VIRGINIA,VA,WILLIAMSBURG,51830,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1777,3725,20220315,TOTAL
35,11366,2000,VIRGINIA,VA,LEE,51105,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4551,8748,20220315,TOTAL
36,11350,2000,VIRGINIA,VA,KING AND QUEEN,51097,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1423,2859,20220315,TOTAL
37,11282,2000,VIRGINIA,VA,FLOYD,51063,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3423,5739,20220315,TOTAL
38,11246,2000,VIRGINIA,VA,CLARKE,51043,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2883,5284,20220315,TOTAL
39,11386,2000,VIRGINIA,VA,MATHEWS,51115,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2951,4609,20220315,TOTAL
40,11550,2000,VIRGINIA,VA,BRISTOL,51520,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3495,6279,20220315,TOTAL
41,11601,2000,VIRGINIA,VA,HAMPTON,51650,US PRESIDENT,AL GORE,DEMOCRAT,27490,47887,20220315,TOTAL
42,11406,2000,VIRGINIA,VA,NEW KENT,51127,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3934,6114,20220315,TOTAL
43,11622,2000,VIRGINIA,VA,MANASSAS,51683,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6752,12410,20220315,TOTAL
44,11382,2000,VIRGINIA,VA,MADISON,51113,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2940,5027,20220315,TOTAL
45,11250,2000,VIRGINIA,VA,CRAIG,51045,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1580,2493,20220315,TOTAL
46,11438,2000,VIRGINIA,VA,POWHATAN,51145,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6820,9711,20220315,TOTAL
47,11374,2000,VIRGINIA,VA,LOUISA,51109,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5461,10096,20220315,TOTAL
48,11450,2000,VIRGINIA,VA,PRINCE WILLIAM,51153,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,52788,100511,20220315,TOTAL
49,11498,2000,VIRGINIA,VA,SPOTSYLVANIA,51177,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20739,35021,20220315,TOTAL
50,11577,2000,VIRGINIA,VA,EMPORIA,51595,US PRESIDENT,AL GORE,DEMOCRAT,1116,2080,20220315,TOTAL
51,11557,2000,VIRGINIA,VA,CHARLOTTESVILLE,51540,US PRESIDENT,AL GORE,DEMOCRAT,7762,13224,20220315,TOTAL
52,11653,2000,VIRGINIA,VA,PORTSMOUTH,51740,US PRESIDENT,AL GORE,DEMOCRAT,22286,35455,20220315,TOTAL
53,11534,2000,VIRGINIA,VA,WYTHE,51197,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6539,10225,20220315,TOTAL
54,11225,2000,VIRGINIA,VA,CAROLINE,51033,US PRESIDENT,AL GORE,DEMOCRAT,4314,8351,20220315,TOTAL
55,11162,2000,VIRGINIA,VA,ACCOMACK,51001,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6352,11925,20220315,TOTAL
56,11270,2000,VIRGINIA,VA,ESSEX,51057,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1995,3831,20220315,TOTAL
57,11390,2000,VIRGINIA,VA,MECKLENBURG,51117,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6600,11654,20220315,TOTAL
58,11178,2000,VIRGINIA,VA,AMHERST,51009,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6660,11712,20220315,TOTAL
59,11286,2000,VIRGINIA,VA,FLUVANNA,51065,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4962,8706,20220315,TOTAL
60,11446,2000,VIRGINIA,VA,PRINCE GEORGE,51149,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6579,10900,20220315,TOTAL
61,11190,2000,VIRGINIA,VA,AUGUSTA,51015,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17744,25271,20220315,TOTAL
62,11509,2000,VIRGINIA,VA,SUSSEX,51183,US PRESIDENT,AL GORE,DEMOCRAT,2006,3906,20220315,TOTAL
63,11242,2000,VIRGINIA,VA,CHESTERFIELD,51041,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,69924,110951,20220315,TOTAL
64,11342,2000,VIRGINIA,VA,ISLE OF WIGHT,51093,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7587,12950,20220315,TOTAL
65,11514,2000,VIRGINIA,VA,TAZEWELL,51185,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8655,16344,20220315,TOTAL
66,11222,2000,VIRGINIA,VA,CAMPBELL,51031,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13162,20327,20220315,TOTAL
67,11530,2000,VIRGINIA,VA,WISE,51195,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6504,13310,20220315,TOTAL
68,11185,2000,VIRGINIA,VA,ARLINGTON,51013,US PRESIDENT,AL GORE,DEMOCRAT,50260,83559,20220315,TOTAL
69,11398,2000,VIRGINIA,VA,MONTGOMERY,51121,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13991,27160,20220315,TOTAL
70,11394,2000,VIRGINIA,VA,MIDDLESEX,51119,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2844,4689,20220315,TOTAL
71,11170,2000,VIRGINIA,VA,ALLEGHANY,51005,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2808,5123,20220315,TOTAL
72,11174,2000,VIRGINIA,VA,AMELIA,51007,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2947,4788,20220315,TOTAL
73,11314,2000,VIRGINIA,VA,GREENE,51079,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3375,5412,20220315,TOTAL
